17306-GrossMarginbyDay-2020-01-01-2020-02-16
Date,Day of the Week,Bill Count,Voids,Gross Sales,Discounts,Net Sales,Menu Item Cost,Labor Cost,Margin
2020-01-01,Wednesday,67,$52.00,"$3,687.00",$51.00,"$3,636.00",$36.00,"$1,166.20","$2,433.80"
2020-01-02,Thursday,57,$55.00,"$3,171.00",$0.00,"$3,171.00",$0.00,"$1,002.53","$2,168.47"
2020-01-03,Friday,78,$97.50,"$4,416.00",$0.00,"$4,416.00",$154.00,"$1,413.91","$2,848.09"
2020-01-04,Saturday,132,$312.00,"$6,946.00",$38.50,"$6,907.50",$24.00,"$1,697.33","$5,186.17"
2020-01-05,Sunday,103,$82.00,"$5,821.00",$0.00,"$5,821.00",$58.00,"$1,514.09","$4,248.91"
2020-01-06,Monday,50,$73.00,"$2,629.66",$0.00,"$2,629.66",$36.00,"$1,443.07","$1,150.59"
2020-01-07,Tuesday,60,$85.00,"$2,743.00",$11.50,"$2,731.50",$104.00,"$1,091.45","$1,536.05"
2020-01-08,Wednesday,58,$37.00,"$2,645.00",$0.00,"$2,645.00",$146.00,"$1,236.95","$1,262.05"
2020-01-09,Thursday,75,$36.00,"$3,873.00",$4.20,"$3,868.80",$192.00,"$1,298.60","$2,378.20"
2020-01-10,Friday,118,$81.00,"$6,603.00",$10.50,"$6,592.50",$24.00,"$1,542.84","$5,025.66"
2020-01-11,Saturday,187,$104.00,"$9,806.50",$42.00,"$9,764.50",$54.00,"$1,845.33","$7,865.17"
2020-01-12,Sunday,114,$32.00,"$5,848.00",$0.00,"$5,848.00",$156.00,"$1,401.25","$4,290.75"
2020-01-13,Monday,57,$22.00,"$2,510.00",$6.50,"$2,503.50",$36.00,$962.60,"$1,504.90"
2020-01-14,Tuesday,51,$6.00,"$2,435.00",$9.50,"$2,425.50",$54.00,"$1,254.83","$1,116.67"
2020-01-15,Wednesday,79,$71.00,"$3,463.50",$0.00,"$3,463.50",$238.00,"$1,190.56","$2,034.94"
2020-01-16,Thursday,71,$35.00,"$3,613.00",$10.00,"$3,603.00",$0.00,"$1,343.40","$2,259.60"
2020-01-17,Friday,86,$187.00,"$5,586.50",$5.60,"$5,580.90",$264.00,"$1,562.86","$3,754.04"
2020-01-18,Saturday,111,$80.00,"$6,415.50",$20.00,"$6,395.50",$92.00,"$1,773.44","$4,530.06"
2020-01-19,Sunday,116,$110.00,"$6,479.00",$12.50,"$6,466.50",$104.00,"$1,669.43","$4,693.07"
2020-01-20,Monday,71,$91.00,"$3,449.50",$130.00,"$3,319.50",$24.00,"$1,262.22","$2,033.28"
2020-01-21,Tuesday,53,$62.00,"$2,401.00",$38.50,"$2,362.50",$46.00,"$1,000.42","$1,316.08"
2020-01-22,Wednesday,61,$212.00,"$3,445.00",$87.50,"$3,357.50",$0.00,$927.68,"$2,429.82"
2020-01-23,Thursday,85,$37.00,"$4,116.00",$17.50,"$4,098.50",$24.00,"$1,088.63","$2,985.87"
2020-01-24,Friday,95,$34.00,"$5,195.00",$44.50,"$5,150.50",$190.00,"$1,245.98","$3,714.52"
2020-01-25,Saturday,138,$98.00,"$7,241.00",$22.00,"$7,219.00",$442.00,"$1,338.19","$5,438.81"
2020-01-26,Sunday,115,$128.00,"$6,134.00",$0.00,"$6,134.00",$154.00,"$1,073.49","$4,906.51"
2020-01-27,Monday,51,$51.00,"$3,130.00",$2.00,"$3,128.00",$0.00,$951.91,"$2,176.09"
2020-01-28,Tuesday,51,$12.00,"$2,416.00",$6.50,"$2,409.50",$0.00,"$1,023.39","$1,386.11"
2020-01-29,Wednesday,59,$26.00,"$3,264.00",$8.00,"$3,256.00",$0.00,"$1,267.17","$1,988.83"
2020-01-30,Thursday,86,$89.50,"$4,659.50",$36.00,"$4,623.50",$200.00,"$1,286.44","$3,137.06"
2020-01-31,Friday,93,$52.00,"$5,546.00",$137.50,"$5,408.50",$280.00,"$1,409.57","$3,718.93"
2020-02-01,Saturday,146,$264.00,"$7,887.00",$33.00,"$7,854.00",$100.00,"$1,697.07","$6,056.93"
2020-02-02,Sunday,89,$27.00,"$4,194.00",$12.00,"$4,182.00",$54.00,"$1,301.24","$2,826.76"
2020-02-03,Monday,58,$4.00,"$3,115.00",$78.00,"$3,037.00",$78.00,"$1,202.09","$1,756.91"
2020-02-04,Tuesday,57,$102.00,"$3,167.50",$30.00,"$3,137.50",$188.00,"$1,165.00","$1,784.50"
2020-02-05,Wednesday,78,$139.00,"$4,420.00",$84.40,"$4,335.60",$196.00,"$1,077.08","$3,062.52"
2020-02-06,Thursday,78,$127.00,"$3,676.00",$33.00,"$3,643.00",$36.00,"$1,188.58","$2,418.42"
2020-02-07,Friday,79,$136.00,"$4,760.00",$45.00,"$4,715.00",$12.00,"$1,175.89","$3,527.11"
2020-02-08,Saturday,164,$190.00,"$9,249.00",$0.00,"$9,249.00",$252.00,"$1,323.40","$7,673.60"
2020-02-09,Sunday,112,$26.00,"$5,087.10",$71.20,"$5,015.90",$54.00,"$1,134.05","$3,827.85"
2020-02-10,Monday,48,$46.50,"$1,827.00",$0.00,"$1,827.00",$48.00,"$1,099.72",$679.28
2020-02-11,Tuesday,80,$48.00,"$3,220.00",$0.00,"$3,220.00",$54.00,"$1,116.77","$2,049.23"
2020-02-12,Wednesday,75,$0.00,"$4,043.00",$42.00,"$4,001.00",$124.00,"$1,341.20","$2,535.80"
2020-02-13,Thursday,81,$50.00,"$4,754.50",$0.00,"$4,754.50",$36.00,"$1,654.26","$3,064.24"
2020-02-14,Friday,162,$93.00,"$10,207.01",$11.50,"$10,195.51",$350.00,"$2,271.43","$7,574.08"
2020-02-15,Saturday,135,$146.00,"$8,752.00",$0.00,"$8,752.00",$94.00,"$2,348.01","$6,309.99"
2020-02-16,Sunday,113,$148.00,"$6,465.00",$19.80,"$6,445.20",$370.00,"$2,278.74","$3,796.46"
REPORT SUMMARY (47 entries),"",4183,"$3,996.50","$224,512.77","$1,211.70","$223,301.07","$5,178.00","$63,660.29","$154,462.78"
