17306-GrossMarginbyDay-2018-07-01-2018-12-31
Date,Day of the Week,Bill Count,Voids,Gross Sales,Discounts,Net Sales,Menu Item Cost,Labor Cost,Margin
2018-07-01,Sunday,94,$268.00,"$5,132.03",$0.00,"$5,132.03",$0.00,"$1,316.44","$3,815.59"
2018-07-02,Monday,75,$154.00,"$3,904.01",$0.00,"$3,904.01",$0.00,$855.73,"$3,048.28"
2018-07-03,Tuesday,72,$61.00,"$3,555.00",$0.00,"$3,555.00",$0.00,$909.48,"$2,645.52"
2018-07-04,Wednesday,66,$115.00,"$3,027.00",$6.00,"$3,021.00",$0.00,$744.24,"$2,276.76"
2018-07-05,Thursday,58,$39.00,"$2,809.00",$0.00,"$2,809.00",$0.00,"$1,060.46","$1,748.54"
2018-07-06,Friday,119,$108.00,"$5,719.00",$95.50,"$5,623.50",$0.00,"$1,049.32","$4,574.18"
2018-07-07,Saturday,110,$56.00,"$6,095.00",$66.00,"$6,029.00",$0.00,"$1,568.50","$4,460.50"
2018-07-08,Sunday,85,$95.00,"$4,644.00",$9.75,"$4,634.25",$0.00,"$1,133.18","$3,501.07"
2018-07-09,Monday,72,$12.00,"$3,327.00",$0.00,"$3,327.00",$0.00,$945.71,"$2,381.29"
2018-07-10,Tuesday,80,$86.00,"$4,178.00",$0.00,"$4,178.00",$0.00,$892.19,"$3,285.81"
2018-07-11,Wednesday,82,$82.00,"$4,862.00",$139.35,"$4,722.65",$0.00,$817.70,"$3,904.95"
2018-07-12,Thursday,101,$58.00,"$5,726.00",$0.00,"$5,726.00",$0.00,"$1,163.41","$4,562.59"
2018-07-13,Friday,111,$181.00,"$5,963.00",$18.40,"$5,944.60",$0.00,"$1,269.30","$4,675.30"
2018-07-14,Saturday,139,$86.00,"$7,161.00",$8.60,"$7,152.40",$0.00,"$1,467.71","$5,684.69"
2018-07-15,Sunday,115,$159.00,"$6,007.00",$31.00,"$5,976.00",$0.00,"$1,012.19","$4,963.81"
2018-07-16,Monday,71,$215.00,"$2,758.01",$8.00,"$2,750.01",$0.00,$758.02,"$1,991.99"
2018-07-17,Tuesday,57,$70.00,"$3,860.00",$20.50,"$3,839.50",$0.00,$766.28,"$3,073.22"
2018-07-18,Wednesday,90,$130.00,"$4,689.00",$97.00,"$4,592.00",$0.00,$990.79,"$3,601.21"
2018-07-19,Thursday,110,$205.00,"$5,895.00",$42.25,"$5,852.75",$0.00,$891.96,"$4,960.79"
2018-07-20,Friday,117,$128.00,"$6,037.99",$0.00,"$6,037.99",$0.00,"$1,000.13","$5,037.86"
2018-07-21,Saturday,96,$160.00,"$4,934.99",$15.00,"$4,919.99",$0.00,"$1,369.57","$3,550.42"
2018-07-22,Sunday,118,$190.00,"$6,222.00",$0.00,"$6,222.00",$0.00,$984.68,"$5,237.32"
2018-07-23,Monday,60,$69.00,"$3,317.00",$102.00,"$3,215.00",$0.00,$940.96,"$2,274.04"
2018-07-24,Tuesday,74,$63.00,"$3,727.00",$18.00,"$3,709.00",$0.00,$744.47,"$2,964.53"
2018-07-25,Wednesday,68,$72.00,"$3,555.00",$99.00,"$3,456.00",$0.00,$778.07,"$2,677.93"
2018-07-26,Thursday,109,$155.00,"$6,007.01",$6.90,"$6,000.11",$0.00,$988.56,"$5,011.55"
2018-07-27,Friday,91,$193.00,"$3,994.00",$65.50,"$3,928.50",$0.00,$967.07,"$2,961.43"
2018-07-28,Saturday,116,$77.00,"$5,632.00",$56.01,"$5,575.99",$0.00,"$1,247.15","$4,328.84"
2018-07-29,Sunday,89,$112.00,"$4,518.00",$34.00,"$4,484.00",$0.00,"$1,022.45","$3,461.55"
2018-07-30,Monday,82,$224.00,"$4,726.00",$0.00,"$4,726.00",$0.00,$817.51,"$3,908.49"
2018-07-31,Tuesday,69,$111.00,"$4,048.00",$0.00,"$4,048.00",$0.00,$783.85,"$3,264.15"
2018-08-01,Wednesday,75,$24.00,"$4,106.00",$112.00,"$3,994.00",$0.00,"$1,154.95","$2,839.05"
2018-08-02,Thursday,103,$235.00,"$5,357.00",$119.75,"$5,237.25",$0.00,"$1,479.34","$3,757.91"
2018-08-03,Friday,112,$236.00,"$5,846.00",$17.25,"$5,828.75",$0.00,"$1,206.49","$4,622.26"
2018-08-04,Saturday,144,$179.00,"$6,594.00",$26.00,"$6,568.00",$0.00,"$1,479.09","$5,088.91"
2018-08-05,Sunday,73,$85.00,"$3,867.00",$16.00,"$3,851.00",$0.00,"$1,063.94","$2,787.06"
2018-08-06,Monday,75,$35.00,"$3,426.01",$0.00,"$3,426.01",$0.00,$850.18,"$2,575.83"
2018-08-07,Tuesday,51,$151.00,"$2,786.01",$0.00,"$2,786.01",$0.00,$792.19,"$1,993.82"
2018-08-08,Wednesday,98,$142.00,"$4,910.01",$213.25,"$4,696.76",$0.00,$961.42,"$3,735.34"
2018-08-09,Thursday,97,$140.00,"$4,970.00",$90.00,"$4,880.00",$0.00,"$1,366.69","$3,513.31"
2018-08-10,Friday,106,$280.00,"$5,560.00",$40.00,"$5,520.00",$0.00,$864.48,"$4,655.52"
