17306-GrossMarginbyDay-2018-06-01-2018-06-30
Date,Day of the Week,Bill Count,Voids,Gross Sales,Discounts,Net Sales,Menu Item Cost,Labor Cost,Margin
2018-06-01,Friday,103,$144.00,"$6,432.02",$0.00,"$6,432.02",$0.00,$918.64,"$5,513.38"
2018-06-02,Saturday,142,$478.00,"$7,812.00",$0.00,"$7,812.00",$0.00,"$1,539.21","$6,272.79"
2018-06-03,Sunday,110,$185.00,"$5,772.00",$52.75,"$5,719.25",$0.00,"$1,249.21","$4,470.04"
2018-06-04,Monday,108,$28.00,"$5,085.00",$0.00,"$5,085.00",$0.00,"$1,252.86","$3,832.14"
2018-06-05,Tuesday,68,$134.00,"$4,568.00",$18.00,"$4,550.00",$0.00,$842.49,"$3,707.51"
2018-06-06,Wednesday,81,$84.00,"$4,395.00",$4.00,"$4,391.00",$0.00,$751.85,"$3,639.15"
2018-06-07,Thursday,138,$188.00,"$6,165.00",$132.00,"$6,033.00",$0.00,"$1,162.11","$4,870.89"
2018-06-08,Friday,124,$118.00,"$7,214.01",$30.01,"$7,184.00",$0.00,"$1,056.28","$6,127.72"
2018-06-09,Saturday,153,$144.00,"$8,365.00",$75.50,"$8,289.50",$0.00,"$1,519.04","$6,770.46"
2018-06-10,Sunday,92,$216.00,"$4,283.00",$0.00,"$4,283.00",$0.00,"$1,145.14","$3,137.86"
2018-06-11,Monday,60,$153.00,"$2,623.00",$0.00,"$2,623.00",$0.00,$996.80,"$1,626.20"
2018-06-12,Tuesday,95,$254.00,"$4,478.00",$0.00,"$4,478.00",$0.00,$852.62,"$3,625.38"
2018-06-13,Wednesday,84,$46.00,"$4,821.00",$116.00,"$4,705.00",$0.00,$750.30,"$3,954.70"
2018-06-14,Thursday,91,$140.00,"$4,822.00",$53.20,"$4,768.80",$0.00,$919.23,"$3,849.57"
2018-06-15,Friday,109,$82.00,"$6,381.98",$0.00,"$6,381.98",$0.00,$909.48,"$5,472.50"
2018-06-16,Saturday,126,$104.00,"$6,870.00",$12.00,"$6,858.00",$0.00,"$1,440.93","$5,417.07"
2018-06-17,Sunday,82,$22.00,"$4,190.00",$0.00,"$4,190.00",$0.00,"$1,358.02","$2,831.98"
2018-06-18,Monday,86,$181.00,"$4,054.00",$0.00,"$4,054.00",$0.00,$883.06,"$3,170.94"
2018-06-19,Tuesday,64,$12.00,"$3,287.00",$0.00,"$3,287.00",$0.00,$965.80,"$2,321.20"
2018-06-20,Wednesday,103,$213.00,"$4,695.00",$37.50,"$4,657.50",$0.00,$741.31,"$3,916.19"
2018-06-21,Thursday,103,$135.20,"$4,671.00",$0.00,"$4,671.00",$0.00,$883.12,"$3,787.88"
2018-06-22,Friday,121,$127.00,"$6,621.00",$0.00,"$6,621.00",$0.00,$825.95,"$5,795.05"
2018-06-23,Saturday,130,$210.00,"$7,490.00",$76.91,"$7,413.09",$0.00,"$1,626.49","$5,786.60"
2018-06-24,Sunday,121,$140.00,"$6,216.99",$94.00,"$6,122.99",$0.00,"$1,211.20","$4,911.79"
2018-06-25,Monday,77,$127.00,"$4,155.00",$33.00,"$4,122.00",$0.00,$730.52,"$3,391.48"
2018-06-26,Tuesday,83,$54.00,"$3,871.00",$0.00,"$3,871.00",$0.00,$622.87,"$3,248.13"
2018-06-27,Wednesday,83,$94.00,"$3,717.01",$12.25,"$3,704.76",$0.00,$780.71,"$2,924.05"
2018-06-28,Thursday,93,$249.50,"$4,787.50",$83.50,"$4,704.00",$0.00,"$1,393.11","$3,310.89"
2018-06-29,Friday,136,$108.00,"$7,006.00",$114.25,"$6,891.75",$0.00,"$1,473.73","$5,418.02"
2018-06-30,Saturday,106,$50.00,"$5,290.00",$95.75,"$5,194.25",$0.00,"$1,494.72","$3,699.53"
REPORT SUMMARY (30 entries),"",3072,"$4,220.70","$160,138.51","$1,040.62","$159,097.89",$0.00,"$32,296.80","$126,801.09"
