17306-GrossMarginbyDay-2019-07-01-2019-12-31
Date,Day of the Week,Bill Count,Voids,Gross Sales,Discounts,Net Sales,Menu Item Cost,Labor Cost,Margin
2019-07-01,Monday,68,$235.00,"$3,062.05",$72.50,"$2,989.55",$282.00,$870.56,"$1,836.99"
2019-07-02,Tuesday,58,$81.00,"$3,536.00",$147.50,"$3,388.50",$78.00,"$1,009.06","$2,301.44"
2019-07-03,Wednesday,63,$88.00,"$3,430.00",$146.50,"$3,283.50",$0.00,"$1,398.99","$1,884.51"
2019-07-04,Thursday,53,$80.00,"$2,542.00",$25.00,"$2,517.00",$60.00,$769.52,"$1,687.48"
2019-07-05,Friday,76,$88.00,"$4,203.00",$128.70,"$4,074.30",$66.00,"$1,128.73","$2,879.57"
2019-07-06,Saturday,87,$34.00,"$4,645.00",$22.00,"$4,623.00",$48.00,"$1,257.62","$3,317.38"
2019-07-07,Sunday,90,$110.00,"$4,198.00",$9.00,"$4,189.00",$0.00,"$1,148.75","$3,040.25"
2019-07-08,Monday,54,$0.00,"$2,704.00",$54.50,"$2,649.50",$0.00,$912.43,"$1,737.07"
2019-07-09,Tuesday,59,$11.00,"$2,683.00",$63.50,"$2,619.50",$228.00,$688.60,"$1,702.90"
2019-07-10,Wednesday,88,$93.00,"$4,178.00",$31.50,"$4,146.50",$96.00,"$1,043.75","$3,006.75"
2019-07-11,Thursday,68,$163.00,"$3,484.00",$23.50,"$3,460.50",$46.00,"$1,429.30","$1,985.20"
2019-07-12,Friday,128,$80.00,"$6,719.00",$220.50,"$6,498.50",$268.00,"$1,416.77","$4,813.73"
2019-07-13,Saturday,139,$252.00,"$6,892.00",$40.00,"$6,852.00",$192.00,"$1,497.93","$5,162.07"
2019-07-14,Sunday,81,$105.00,"$4,139.00",$35.75,"$4,103.25",$46.00,"$1,142.04","$2,915.21"
2019-07-15,Monday,72,$40.00,"$3,346.00",$52.20,"$3,293.80",$48.00,$947.51,"$2,298.29"
2019-07-16,Tuesday,74,$135.00,"$4,155.00",$182.50,"$3,972.50",$36.00,$755.97,"$3,180.53"
2019-07-17,Wednesday,70,$178.50,"$3,690.00",$27.00,"$3,663.00",$24.00,$942.78,"$2,696.22"
2019-07-18,Thursday,72,$151.00,"$3,445.50",$61.10,"$3,384.40",$0.00,"$1,090.90","$2,293.50"
2019-07-19,Friday,89,$158.00,"$4,848.00",$133.10,"$4,714.90",$96.00,"$1,248.47","$3,370.43"
2019-07-20,Saturday,73,$79.00,"$3,754.50",$21.40,"$3,733.10",$36.00,"$1,376.60","$2,320.50"
2019-07-21,Sunday,90,$96.00,"$4,286.50",$62.20,"$4,224.30",$72.00,"$1,167.46","$2,984.84"
2019-07-22,Monday,47,$54.00,"$2,793.00",$24.50,"$2,768.50",$90.00,"$1,097.39","$1,581.11"
2019-07-23,Tuesday,78,$160.00,"$4,268.51",$45.00,"$4,223.51",$96.00,"$1,070.27","$3,057.24"
2019-07-24,Wednesday,84,$257.00,"$3,929.00",$94.35,"$3,834.65",$60.00,"$1,110.52","$2,664.13"
2019-07-25,Thursday,87,$100.00,"$5,258.50",$84.00,"$5,174.50",$156.00,"$1,288.41","$3,730.09"
2019-07-26,Friday,75,$184.67,"$4,140.33",$104.34,"$4,036.00",$180.00,"$1,257.61","$2,598.39"
2019-07-27,Saturday,125,$236.00,"$6,651.00",$35.50,"$6,615.50",$60.00,"$1,624.29","$4,931.21"
2019-07-28,Sunday,99,$188.00,"$4,930.00",$8.80,"$4,921.20",$12.00,"$1,202.43","$3,706.77"
2019-07-29,Monday,73,$120.00,"$3,880.00",$105.50,"$3,774.50",$82.00,"$1,007.33","$2,685.17"
2019-07-30,Tuesday,59,$63.50,"$3,667.50",$134.30,"$3,533.20",$96.00,"$1,030.20","$2,407.00"
2019-07-31,Wednesday,89,$154.50,"$4,440.50",$53.00,"$4,387.50",$180.00,$814.05,"$3,393.45"
2019-08-01,Thursday,96,$347.00,"$5,746.00",$234.00,"$5,512.00",$396.00,"$1,288.97","$3,827.03"
2019-08-02,Friday,105,$347.00,"$5,971.00",$75.00,"$5,896.00",$48.00,"$1,280.33","$4,567.67"
2019-08-03,Saturday,107,$271.00,"$5,663.00",$78.50,"$5,584.50",$120.00,"$1,540.36","$3,924.14"
2019-08-04,Sunday,98,$345.00,"$4,756.00",$11.60,"$4,744.40",$24.00,"$1,084.97","$3,635.43"
2019-08-05,Monday,74,$87.00,"$3,327.10",$44.50,"$3,282.60",$66.00,"$1,093.00","$2,123.60"
2019-08-06,Tuesday,65,$27.00,"$3,482.50",$129.00,"$3,353.50",$36.00,"$1,103.56","$2,213.94"
2019-08-07,Wednesday,53,$9.00,"$2,503.00",$134.50,"$2,368.50",$250.00,$692.51,"$1,425.99"
2019-08-08,Thursday,91,$235.00,"$4,008.50",$175.00,"$3,833.50",$156.00,"$1,286.33","$2,391.17"
2019-08-09,Friday,101,$238.00,"$5,372.00",$161.50,"$5,210.50",$598.00,"$1,219.52","$3,392.98"
2019-08-10,Saturday,124,$83.00,"$6,219.00",$104.70,"$6,114.30",$264.00,"$1,379.04","$4,471.26"
2019-08-11,Sunday,75,$37.00,"$4,160.00",$4.00,"$4,156.00",$12.00,"$1,025.90","$3,118.10"
2019-08-12,Monday,83,$123.00,"$3,690.00",$93.01,"$3,596.99",$144.00,$902.98,"$2,550.01"
